SCORE,FIRSTNAME,LASTNAME,EMAIL,COMPANY,INDUSTRY,CITY,STATE,WEBSITE,PHONE
13,Betty,Holloway,info@hudsonwealthpartners.com,Hudson Wealth Partners,Financial Services,New York City,New York,www.hudsonwealthpartners.com,(212) 555-0543
13,Nathan,Ellis,info@wallstadvisorygroup.com,Wall St Advisory Group,Financial Services,New York City,New York,www.wallstadvisorygroup.com,(212) 555-0657
13,Jerome,Singleton,info@buffalotaxadvisors.com,Buffalo Tax Advisors,Financial Services,Buffalo,New York,www.buffalotaxadvisors.com,(716) 555-0871
13,Deborah,Walsh,info@albanyfinancialplanning.com,Albany Financial Planning,Financial Services,Albany,New York,www.albanyfinancialplanning.com,(518) 555-0988
13,Cynthia,Flores,info@pacificcoastadvisors.com,Pacific Coast Advisors,Financial Services,San Francisco,California,www.pacificcoastadvisors.com,(415) 555-0321
13,Frank,Okoro,info@lapremiertaxfirm.com,LA Premier Tax Firm,Financial Services,Los Angeles,California,www.lapremiertaxfirm.com,(310) 555-0438
13,Marcia,Crawford,info@svwealthmanagement.com,SV Wealth Management,Financial Services,San Jose,California,www.svwealthmanagement.com,(408) 555-0545
13,Patricia,Ogunwale,info@inlandempireaccounting.com,Inland Empire Accounting,Financial Services,Riverside,California,www.inlandempireaccounting.com,(909) 555-0769
13,Mitchell,Stone,info@sacramentofirstfinancial.com,Sacramento First Financial,Financial Services,Sacramento,California,www.sacramentofirstfinancial.com,(916) 555-0876
13,Dorothy,Palmer,info@lonestarfinancialgroup.com,Lone Star Financial Group,Financial Services,Dallas,Texas,www.lonestarfinancialgroup.com,(214) 555-0194
13,Felicia,Cruz,info@houstontaxsolutions.com,Houston Tax Solutions,Financial Services,Houston,Texas,www.houstontaxsolutions.com,(713) 555-0428
13,Irving,Mendez,info@sanantonioinsurepros.com,San Antonio Insure Pros,Financial Services,San Antonio,Texas,www.sanantonioinsurepros.com,(210) 555-0535
13,Oscar,Romero,info@chicagofinancialpartners.com,Chicago Financial Partners,Financial Services,Chicago,Illinois,www.chicagofinancialpartners.com,(312) 555-0759
13,Lorraine,Perkins,info@greatlakestaxgroup.com,Great Lakes Tax Group,Financial Services,Chicago,Illinois,www.greatlakestaxgroup.com,(773) 555-0876
13,Rosa,Rivera,info@springfieldilfinancial.com,Springfield IL Financial,Financial Services,Springfield,Illinois,www.springfieldilfinancial.com,(217) 555-0298
13,Earl,Norris,info@napervilleaccountingpros.com,Naperville Accounting Pros,Financial Services,Naperville,Illinois,www.napervilleaccountingpros.com,(630) 555-0415
13,June,Armstrong,info@coastalwealthmanagement.com,Coastal Wealth Management,Financial Services,Miami,Florida,www.coastalwealthmanagement.com,(305) 555-0522
13,Valerie,Mason,info@tampabayinsurancepros.com,Tampa Bay Insurance Pros,Financial Services,Tampa,Florida,www.tampabayinsurancepros.com,(813) 555-0746
13,Preston,Walters,info@jaxaccountingservices.com,Jax Accounting Services,Financial Services,Jacksonville,Florida,www.jaxaccountingservices.com,(904) 555-0853
13,Audrey,Kim,info@longbeachcapitalgroup.com,Long Beach Capital Group,Financial Services,Long Beach,California,www.longbeachcapitalgroup.com,(562) 555-0769
13,Florence,Nakamura,info@bronxtaxservicesny.com,Bronx Tax Services NY,Financial Services,Bronx,New York,www.bronxtaxservicesny.com,(718) 555-0193
13,Grant,Patterson,info@houstoncapitaladvisors.com,Houston Capital Advisors,Financial Services,Houston,Texas,www.houstoncapitaladvisors.com,(832) 555-0321
13,Ivan,Romero,info@jolietilfinancial.com,Joliet IL Financial,Financial Services,Joliet,Illinois,www.jolietilfinancial.com,(815) 555-0565
13,Janet,Powell,info@waukegantaxadvisors.com,Waukegan Tax Advisors,Financial Services,Waukegan,Illinois,www.waukegantaxadvisors.com,(847) 555-0682
13,Nadine,Okafor,info@pensacolafintaxfl.com,Pensacola Fin Tax FL,Financial Services,Pensacola,Florida,www.pensacolafintaxfl.com,(850) 555-0116
13,Owen,Yates,info@bocaratonwealthmgmt.com,Boca Raton Wealth Mgmt,Financial Services,Boca Raton,Florida,www.bocaratonwealthmgmt.com,(561) 555-0233
13,Quentin,Flores,info@hialeahaccountingfl.com,Hialeah Accounting FL,Financial Services,Hialeah,Florida,www.hialeahaccountingfl.com,(305) 555-0468
13,Ronda,Simmons,info@fresnofinancialgroup.com,Fresno Financial Group,Financial Services,Fresno,California,www.fresnofinancialgroup.com,(559) 555-0585
