#,SCORE,FIRSTNAME,LASTNAME,EMAIL,COMPANY,INDUSTRY,CITY,STATE,PHONE
1,12,Kenneth,Martin,team@titaniumtaxaccounting.com,Titanium Tax & Accounting,Financial Services,San Jose,California,(949) 821-9228
2,12,Gary,Bennett,office@vanguardfinancial.com,Vanguard Financial,Financial Services,Sacramento,California,(310) 650-1899
3,12,Ralph,Herrera,hello@patriotwealthgroup.com,Patriot Wealth Group,Financial Services,Riverside,California,(408) 825-1589
4,12,Paul,Morris,office@cypressaccounting.com,Cypress Accounting,Financial Services,Bakersfield,California,(323) 408-7543
5,12,Donna,King,hello@cypresstaxadvisors.com,Cypress Tax Advisors,Financial Services,Inglewood,California,(510) 252-5496
6,12,Emily,Bennett,team@emeraldcapital.com,Emerald Capital,Financial Services,Pomona,California,(626) 690-4576
7,12,Aiden,Gonzalez,team@walnutwealthpartners.com,Walnut Wealth Partners,Financial Services,Modesto,California,(818) 673-6604
8,12,Mark,Edwards,office@apexfinancialgroup.com,Apex Financial Group,Financial Services,Fontana,California,(510) 405-3864
9,12,Larry,Mendoza,hello@atlantictaxgroup.com,Atlantic Tax Group,Financial Services,San Diego,California,(310) 280-6503
10,12,Victoria,Smith,office@cornerstonetaxgroup.com,Cornerstone Tax Group,Financial Services,Sacramento,California,(909) 891-5666
11,12,Laura,Ward,hello@elmcpagroup.com,Elm CPA Group,Financial Services,Riverside,California,(310) 495-7119
12,12,Julian,Phillips,team@magnoliacpagroup.com,Magnolia CPA Group,Financial Services,Long Beach,California,(415) 498-8369
13,12,Grayson,Anderson,team@cobaltaccounting.com,Cobalt Accounting,Financial Services,Pomona,California,(650) 756-5622
14,12,Amanda,Green,office@sapphirecapitalpartners.com,Sapphire Capital Partners,Financial Services,Irvine,California,(714) 526-7036
15,12,David,Garcia,hello@northstarcapitalpartners.com,Northstar Capital Partners,Financial Services,Chula Vista,California,(323) 798-9781
16,12,Michael,Kim,office@platinumfinancial.com,Platinum Financial,Financial Services,Fontana,California,(408) 589-6818
17,12,Angela,Young,hello@sentinelwealthgroup.com,Sentinel Wealth Group,Financial Services,San Diego,California,(415) 775-7910
18,12,Audrey,Tran,team@sequoiaadvisorypartners.com,Sequoia Advisory Partners,Financial Services,San Jose,California,(323) 204-2922
19,12,Audrey,Phillips,team@heritagefinancial.com,Heritage Financial,Financial Services,Long Beach,California,(310) 500-3533
20,12,Mia,Guzman,office@landmarkadvisors.com,Landmark Advisors,Financial Services,Bakersfield,California,(510) 588-2296
